actores,estado,fecha_estreno,generos,puntaje,temporadas,titulo
"Dee Bradley Baker,Hynden Walch,Jeremy Shada,Jessica DiCicco,John DiMaggio,Maria Bamford,Niki Yang,Olivia Olson,Pendleton Ward,Polly Lou Livingston,Steve Little,Tom Kenny",FINALIZADA,2010,"Animación,Comedia,Fantasía",4.5,10,Hora de aventura
"A.D. Miles,Cleo King,Jake Johnson,Natasha Leggero,Rob Riggle,Ron Funches",EMISION,2020,"Animación,Comedia,Series de Netflix",4.5,1,Hoops
"Claire Danes,Costa Ronin,Linus Roache,Mandy Patinkin,Maury Sterling,Nimrat Kaur,Numan Acar",FINALIZADA,2011,"Acción,Aventura,Crimen,Drama,Política,Series de Showtime",4.5,8,Homeland
Janelle Monáe,EMISION,2018,"Drama,Series de Amazon",0,2,Homecoming
"Abby Miller,Adrian Hough,Aziza Scott,Brooklynn Prince,Deric McCabe,Jibrail Nantambu,Jim Sturgess,Joelle Carter,Kylie Rogers,Louis Herthum,Michael Weston",EMISION,2020,"Drama,Misterio,Series de Apple TV+",4.5,1,Home Before Dark
"Choi Yeo-jin,Hwang Chan-sung,Kang Seung-hyun,Kim Soo-jin,Ko Sung-hee,Lee Jung-eun,Lee Ki-chan,Yoon Hyun-min",FINALIZADA,2020,"Drama,Ciencia ficción,Fantasía,Series de Netflix",4,1,"Holo, mi amor"
"Alejandro Calva,Dario Yazbek Bernal,Diana Bovio,Regina Blandón",FINALIZADA,2020,"Crimen,Drama,Series de Netflix",3.5,1,Historia de un crimen: La búsqueda
"Charlie Hunnam,David Labrava,Dayton Callie,Drea de Matteo,Jimmy Smits,Katey Sagal,Kim Coates,Mark Boone Junior,Niko Nicotera,Theo Rossi,Tommy Flanagan",FINALIZADA,2008,"Crimen,Drama,Series de FX",5,7,Hijos de la anarquía
"Amaury Nolasco,Atkins Estimond,Dohn Norwood,James Badge Dale,Monica Raymund,Riley Voelkel,Shane Harper",EMISION,2020,"Drama,Series de Starz",3.5,1,Hightown
Charles Martinet,FINALIZADA,2020,"Documental,Series de Netflix",0,1,High Score: El mundo de los videojuegos
"Dara Reneé,Frankie A. Rodriguez,Joshua Bassett,Julia Lester,Kate Reinders,Larry Saperstein,Mark St. Cyr,Matt Cornett,Olivia Rodrigo,Sofia Wylie",EMISION,2019,"Comedia,Drama,Familia,Música,Series de Disney+",4.5,1,High School Musical: El Musical: La Serie
"Ahn Nae-sang,Bae Hae-sun,Ban Hyo-jung,Han In-soo,Kim Dae-gon,Kim Mi-kyeong,Kim Mi-su,Kim Tae-hee,Lee Kyoo-hyung,Lee Si-Woo,Park Eun-hye,Park Su-young",FINALIZADA,2020,"Ciencia ficción,Comedia,Dorama,Drama,Fantasía",4,1,"Hi Bye, Mama!"
"Adrian Pasdar,Ali Larter,Cristine Rose,Greg Grunberg,Hayden Panettiere,Jack Coleman,James Kyson,Masi Oka,Milo Ventimiglia,Robert Knepper,Sendhil Ramamurthy,Zachary Quinto",FINALIZADA,2006,"Drama,Ciencia ficción,Fantasía,Series de Amazon,Series de NBC",5,4,Héroes
"Alyssa Milano,Brian Krause,Holly Marie Combs,Kaley Cuoco,Rose McGowan",FINALIZADA,1998,"Antiguas,Comedia,Drama,Misterio,Series de The WB",5,8,Hechiceras
"Dolores Heredia,Julián Román",FINALIZADA,2016,"Drama,Reality",0,1,Hasta que te conocí
"Aaron Pierre,Ann Ogbomo,Blake Ritson,Cameron Cuffe,Colin Salmon,Georgina Campbell,Hannah Waddingham,Ian McElhinney,Rasmus Hardiker,Shaun Sipos,Wallis Day",FINALIZADA,2018,"Acción,Aventura,Ciencia ficción,DC Comics,Drama,Fantasía",0,2,Krypton
"Bae Doo-na,Huh Joon-ho,Ju Ji-hoon,Jun Suk-ho,Kim Hye-jun,Kim Sang-ho,Kim Sung-kyu,Ryu Seung-ryong",EMISION,2019,"Acción,Aventura,Drama,Misterio,Series de Netflix",4.5,2,Kingdom
"Fiona Shaw,Jodie Comer,Kim Bodnia,Sandra Oh",EMISION,2018,"Crimen,Drama,Series de BBC America",5,3,Killing Eve
"Dan Frischman,Kel Mitchell,Ken Foree,Kenan Thompson,Teal Marchande,Vanessa Baden",FINALIZADA,1996,"Antiguas,Comedia,Series de Nickelodeon",5,4,Kenan y Kel
"Alice Eve,Finn Jones,Jessica Henwick,Jessica Stroup,Sacha Dhawan,Tom Pelphrey",FINALIZADA,2017,"Acción,Aventura,Ciencia ficción,Drama,Fantasía,Marvel,Series de Netflix",0,2,Iron Fist
"Ingrid García-Jonsson,Jon Arias,Juan Diego Botto,Lola Dueñas,Mario Casas,Óscar Casas,Silvia Alonso",FINALIZADA,2019,"Drama,Misterio,Series de Movistar+",3,1,Instinto
"Alexa Demie,Algee Smith,Angus Cloud,Barbie Ferreria,Eric Dane,Hunter Schafer,Jacob Elordi,Maude Apatow,Nika King,Storm Reid,Sydney Sweeney,Zendaya",EMISION,2019,"Drama,Series de HBO",4,1,Euphoria
"Barrett Doss,Danielle Savre,Grey Damon,Jaina Lee Ortiz,Jason George,Jay Hayden,Miguel Sandoval,Okieriete Onaodowan",EMISION,2018,"Drama,Series de ABC",4,3,Estación 19
"Kathleen Rose Perkins,Richard Ellis,Sofia Bryant,Sophia Lillis,Wyatt Oleff",EMISION,2020,"Comedia,Drama,Series de Netflix",4,1,Esta mierda me supera
"Alison Fernandez,Andrew J. West,Colin O'Donoghue,Dania Ramirez,Gabrielle Anwar,Lana Parrilla,Mekia Cox,Robert Carlyle",FINALIZADA,2011,"Ciencia ficción,Drama,Fantasía,Series de ABC,Series de Netflix",3,7,Érase una vez
"Dallas Roberts,Debby Ryan,Kimmy Shields,Vincent Rodriguez III",FINALIZADA,2018,"Comedia,Drama,Series de Netflix",4,2,Insatiable
"Anson Mount,Ellen Woglom,Eme Ikwuakor,Isabelle Cornish,Iwan Rheon,Ken Leung,Mike Moh,Serinda Swan,Sonya Balmores",FINALIZADA,2017,"Acción,Aventura,Drama,Marvel",5,1,Inhumans
"Bryshere Y. Gray,Taraji P. Henson,Terrence Howard,Trai Byers,Vivica A. Fox",FINALIZADA,2015,"Drama,Música,Series de FOX",5,6,Empire
"Michael Jordan,Phil Jackson,Scottie Pippen,Stephen Douglas Kerr",EMISION,2020,"Documental,Series de ESPN+,Series de Netflix",4,1,El último baile
Janelle Monáe,FINALIZADA,2020,"Documental,Series de Netflix",3.5,1,"El Sexo, en pocas palabras"
"Andrés Parra,Christian Tappán",EMISION,2020,"Crimen,Drama,Series de Netflix",4.5,1,El robo del siglo
"Bianca Byington,Bruno Garcia,Caio Horowicz,Denise Fraga,Esther Tinman,Grace Passô,Iza Moreira,Kevin Vechiatto,lávio Tolezani,Luana Nastas,Michel Joelsas,Thomas Aquino",EMISION,2020,"Drama,LGBT,Misterio,Series de Netflix",4.5,1,El reto del beso
"Andrés Parra,Gonzalo Robles,Karla Souza,Luis Gnecco,Paulina Gaitán,Sergio Hernández",EMISION,2020,"Drama,Series de Amazon",3.5,1,El Presidente
,EMISION,2020,"Documental,Series de Movistar+",1,1,El Palmar de Troya
"Antoinette Crowe-Legacy,Forest Whitaker,Giancarlo Esposito,Ilfenesh Hadera,Kathrine Narducci,Kelvin Harrison Jr.,Lucy Fry,Nigel Thatch,Paul Sorvino,Rafi Gavron,Vincent D'Onofrio",EMISION,2019,"Crimen,Drama,Series de Epix,Series de FOX",3.5,1,El Padrino de Harlem
"Chance Perdomo,Gavin Leatherwood,Jaz Sinclair,Kiernan Shipka,Lachlan Watson,Lucy Davis,Michelle Gomez,Miranda Otto,Richard Coyle,Ross Lynch,Tati Gabrielle",EMISION,2018,"Ciencia ficción,Drama,Fantasía,Misterio,Series de Netflix",4,3,El mundo oculto de Sabrina
"Joe Adler,Josie Loren,Owain Yeoman,Robin Tunney,Rockmond Dunbar,Simon Baker,Tim Kang",FINALIZADA,2008,"Crimen,Drama,Misterio,Series de CBS",4,7,El Mentalista
"Ela Velden,Fabiola Campomanes,Helena Haro,Horacio Pancheri,Hugo Catalán,Humberto Busto,Maite Perroni,Marimar Vega,Sebastián Zurita",EMISION,2019,Drama,4,1,El Juego de las Llaves
"Adam Pålsson,Astrid Fox-Sahan,Ellise Chappell,Leanne Best,Richard Dillane,Sara Seyed,Yasen Atour",EMISION,2020,"Crimen,Drama,Misterio,Series de Netflix",5,1,El joven Wallander
"Annie Potts,Iain Armitage,Jim Parsons,Lance Barber,Matt Hobby,Montana Jordan,Raegan Revord,Zoe Perry",EMISION,2017,"Comedia,Series de CBS All Access",4,3,El joven Sheldon
"Alexa Davalos,Brennan Brown,Chelah Horsdal,Frances Turner,Jason O'Mara,Joel de la Fuente,Rufus Sewell",FINALIZADA,2015,"Drama,Ciencia ficción,Fantasía,Series de Amazon",0,4,El hombre en el castillo
"Irina Baeva,Jean Paul Leroux,Juan Pablo Gil,Renata Notni,Roberto Mateos,Sebastián Rulli,Sofía Castro",EMISION,2019,"Acción,Aventura,Drama,Series de Univision",4.5,2,El Dragón: El regreso de un guerrero
"Amanda Brugel,Ann Dowd,Bradley Whitford,Elisabeth Moss,Joseph Fiennes,Madeline Brewer,Max Minghella,O.T. Fagbenle,Samira Wiley,Yvonne Strahovski",EMISION,2017,"Drama,Ciencia ficción,Fantasía,Series de Hulu",4,3,El cuento de la Criada
"Malia Baker,Momona Tamada,Shay Rudolph,Sophie Grace",EMISION,2020,"Familia,Kids,Series de Netflix",4,1,El Club de las Niñeras
"Alejandro Aguilar,Hernán Romo,Humberto Busto,Juan Carlos Olivas,Marco de la O,Tete Espinoza,Valentina Acosta",FINALIZADA,2017,"Drama,Series de Univision",4,3,El Chapo
"Alba Gaïa Bellugi,Astrid Whettnall,Chris TDL,Edwin Thomas,Jan Bijvoet,Ksawery Szlenkier,Laurent Capelluto,Mehmet Kurtuluş,Pauline Étienne,Stefano Cassetti",EMISION,2020,"Ciencia ficción,Fantasía,Series de Netflix",2.5,1,El camino de la noche
"Alba Ribas,Alberto Jo Lee,Bernabé Fernández,Blanca Suárez,David Seijo,Giselle Calderón,Héctor Alterio,Irene Montalà,Ivan Massagué,Jan Cornet,Javier Hernández,Juan Pablo Shuk",FINALIZADA,2011,"Acción,Aventura,Drama,Misterio",4.5,3,El Barco
Aaron Hernandez,FINALIZADA,2020,"Crimen,Documental",2.5,1,El asesino oculto: En la mente de Aaron Hernandez
,EMISION,2020,"Documental,Series de Netflix",4,1,Justicia para el pequeño Gabriel
,FINALIZADA,2020,"Reality,Series de Netflix",3.5,1,Jugando con fuego
"Atom Shukugawa,Haruka Kubo,Kaho Tsuchimura,Kai Inowaki,Kana Kurashina,Koki Osamura,Nana Yanagisawa,Ririka,Ryôta Matsushima,Ryushin Tei,Seiko Iwaido,Shinsuke Kato",FINALIZADA,2020,"Drama,Misterio,Series de Netflix",5,1,Ju-On: Orígenes
"Carrie-Anne Moss,Eka Darville,Krysten Ritter,Rachael Taylor",FINALIZADA,2015,"Drama,Ciencia ficción,DC Comics,Fantasía,Series de Netflix",0,3,Jessica Jones
Jeffrey Epstein,FINALIZADA,2020,"Crimen,Documental,Series de Netflix",3.5,1,Jeffrey Epstein: Asquerosamente rico
"Alex Cazares,Eric Bell Jr.,Hope Levy,Jake Green,JP Karliak,Kevin Michael Richardson,Miles Bakshi",EMISION,2018,"Acción,Animación,Aventura,Comedia,Kids,Series de Netflix",4,3,Jefe en pañales: Regreso a los negocios
"Claes Bang,Dolly Wells",FINALIZADA,2020,"Drama,Ciencia ficción",3.5,1,Dracula
"Amy Poehler,Betsy Sodaro,Riki Lindhome,Ty Burrell,Yassir Lester,Zach Cherry",EMISION,2020,"Animación,Comedia,Series de FOX",3.5,1,Duncanville
"Charlyne Yi,Hugh Laurie,Jesse Spencer,Odette Annable,Omar Epps,Peter Jacobson,Robert Sean Leonard",FINALIZADA,2004,"Comedia,Drama,Misterio",3.5,8,Dr. House
"Drake Bell,Jonathan Goldstein,Josh Peck,Miranda Cosgrove,Nancy Sullivan",FINALIZADA,2004,"Comedia,Series de Nickelodeon",4.5,4,Drake y Josh
"Alan Tudyk,April Bowlby,Brendan Fraser,Diane Guerrero,Joivan Wade,Mark Sheppard,Matt Bomer,Timothy Dalton",EMISION,2019,"Acción,Aventura,Ciencia ficción,DC Comics,Fantasía",4,2,Doom Patrol
Jon Favreau,EMISION,2020,"Documental,Series de Disney+",5,1,Disney Gallery: The Mandalorian
"Alan Dale,Elizabeth Gillies,Grant Show,James Mackay,Rafael de la Fuente,Robert Christopher Riley,Sam Adegoke",EMISION,2017,"Drama,Series de The CW,Soap",4,3,Dinastia
"Charlie Bushnell,Michael Weaver,Selenis Leyva,Tess Romero",EMISION,2020,"Comedia,Series de Disney+",3.5,1,Diario de una futura Presidenta
"Aimee Garcia,C.S. Lee,David Zayas,Desmond Harrington,Geoff Pierson,James Remar,Jennifer Carpenter,Michael C. Hall",FINALIZADA,2006,"Crimen,Drama,Misterio,Series de Showtime",5,8,Dexter
"Adrián Uribe,Aislinn Derbez,Aitana Derbez,Alessandra Rosaldo,Eugenio Derbez,José Eduardo Derbez,Thuany Martins",EMISION,2020,"Comedia,Familia",4.5,1,desHecho en Casa
"Bárbara López,Coty Camacho,Diego Calva Hernández,Lucía Uribe,Tessa Ía,Tomás Ruiz",EMISION,2020,"Drama,Series de Netflix",5,1,Desenfrenadas
,EMISION,2020,Reality,0,1,DeMarcus Family Rules
"Betty Gabriel,Cherry Jones,Chris Evans,Jaeden Martell,Michelle Dockery,Pablo Schreiber,Sakina Jaffrey",EMISION,2020,"Crimen,Drama,Misterio,Series de Apple TV+",4.5,1,Defender a Jacob
"Aislinn Derbez,Alessandra Rosaldo,Eugenio Derbez,José Eduardo Derbez,Mauricio Ochmann,Vadhir Derbez",FINALIZADA,2019,"Documental,Familia,Series de Amazon",4,1,De viaje con los Derbez
"Dakota Fanning,Daniel Brühl,Douglas Smith,Luke Evans,Matthew Shear,Melanie Field,Robert Wisdom,Rosy McEwen",EMISION,2018,"Crimen,Drama,Misterio,Series de Netflix",4,2,El Alienista
"Andrea Navedo,Gina Rodriguez,Ivonne Coll,Jaime Camil,Justin Baldoni,Yael Grobglas",FINALIZADA,2014,"Comedia,Drama,Series de The CW",4.5,5,Jane the Virgin
"Charlie Cox,Deborah Ann Woll,Elden Henson,Jay Ali,Joanne Whalley,Kate Udall,Vincent D'Onofrio,Wilson Bethel",FINALIZADA,2015,"Acción,Crimen,Marvel,Series de Netflix",4.5,3,Daredevil
"Courteney Cox,David Schwimmer,Jennifer Aniston,Lisa Kudrow,Matt LeBlanc,Matthew Perry",FINALIZADA,1994,"Antiguas,Comedia,Drama",4.5,10,Friends
"Alina Fritsch,Anja Kling,Brigitte Kren,Christoph F. Krutzler,Daniela Golpashin,Ella Rumpf,Georg Friedrich,Lukas Miko,Lukas Thomas Watzl,Manuel Ossenkopf,Marie-Lou Sellem,Merab Ninidze",EMISION,2020,"Crimen,Drama,Misterio,Series de Netflix,Series de ORF",3,1,Freud
,EMISION,2019,Animación,3.5,1,Forky hace una pregunta
"Alexa Nisenson,Alycia Debnam-Carey,Austin Amelio,Colman Domingo,Danay García,Garret Dillahunt,Jenna Elfman,Karen David,Lennie James,Maggie Grace,Rubén Blades",EMISION,2015,"Acción,Aventura,Drama,Series de AMC",4.5,5,Fear the Walking Dead
"Bill Burr,Haley Reinhart,Justin Long,Laura Dern",EMISION,2015,"Animación,Comedia,Series de Netflix",5,4,F is for Family
"Danny Masterson,Debra Jo Rupp,Don Stark,Josh Meyers,Kurtwood Smith,Laura Prepon,Mila Kunis,Tommy Chong,Wilmer Valderrama",FINALIZADA,1998,"Antiguas,Comedia,Familia,Series de FOX",0,8,El show de los 70
"Alfonso Ribeiro,Daphne Maxwell Reid,James Avery,Janet Hubert,Joseph Marcell,Karyn Parsons,Ross Bagley,Tatyana Ali,Will Smith",FINALIZADA,1990,"Antiguas,Comedia,Drama,Familia,Series de NBC,Series de Netflix",0,6,El príncipe del rap
"Andrew Scott,Bill Paterson,Brett Gelman,Hugh Dennis,Hugh Skinner,Jamie Demetriou,Jenny Rainsford,Olivia Colman,Phoebe Waller-Bridge,Sian Clifford",FINALIZADA,2016,"Comedia,Drama",5,2,Fleabag
"Aaron Staton,Christina Hendricks,Elisabeth Moss,January Jones,Jessica Paré,John Slattery,Jon Hamm,Kevin Rahm,Kiernan Shipka,Rich Sommer,Robert Morse,Vincent Kartheiser",FINALIZADA,2007,"Drama,Series de Amazon",0,7,Mad Men
"David DeLuise,David Henrie,Jake T. Austin,Jennifer Stone,Maria Canals-Barrera,Selena Gomez",FINALIZADA,2007,"Ciencia ficción,Comedia,Drama,Fantasía,Series de Disney Channel",5,4,Los Hechiceros de Waverly Place
"Aaron Stanford,Alisen Down,Amanda Schull,Barbara Sukowa,Brooke Williams,Emily Hampshire,Todd Stashwick",FINALIZADA,2015,"Ciencia ficción,Drama,Series de Syfy",0,4,12 Monos
,EMISION,2018,"Drama,Series de Netflix",5,3,Baby
"Alex Sawyer,Alexandra Shipp,Ana Mulvoy-Ten,Bobby Lockwood,Brad Kavanagh,Burkely Duffield,Eugene Simon,Francis Magee,Jack Donnelly,Jade Ramsey,Klariza Clayton,Louisa Connolly-Burnham",FINALIZADA,2011,"Misterio,Ciencia ficción,Fantasía,Series de Nickelodeon",0,3,El misterio de anubis
"Arthur Anderson,Billie Lou Watt,Lionel G. Wilson,Marty Grabstein,Paul Schoeffler,Simon Prebble,Thea White",FINALIZADA,1999,"Animación,Antiguas,Ciencia ficción,Comedia,Fantasía,Misterio,Series de Cartoon Network",0,4,"Coraje, el perro cobarde"
"Abbie Gayle,Andrea Andrade,Brandon Stanley,CG Lewis,Charlie Plummer,Deneen Tyler,Denny Love,Frieda Jane,Henry Zaga,Jared Bankens,Jay Lee,Joe Chrest",FINALIZADA,2019,"Drama,Series de Hulu",0,1,Buscando a Alaska
"Issa Rae,Jay Ellis,Lisa Joyce,Yvonne Orji",EMISION,2016,"Comedia,Drama,Series de HBO",0,4,Insecure
"Bradley Walsh,Jodie Whittaker,Mandip Gill,Tosin Cole",EMISION,2005,"Acción,Aventura,Ciencia ficción,Drama,Fantasía,Series de BBC One",0,12,Doctor Who
"Glen Powell,Jameela Jamil,Jenna Ortega,Kausar Mohammed,Paul-Mikél Williams,Raini Rodriguez,Ryan Potter,Sean Giambrone",EMISION,2020,"Animación,Acción,Aventura,Series de Netflix",0,1,Jurassic World: Campamento Cretácico
Ricky Merino,EMISION,2020,"Familia,Reality,Series de Netflix",0,1,¡A cantar!
"Alessandra Mastronardi,Aziz Ansari,Eric Wareheim,Lena Waithe,Shoukath Ansari",FINALIZADA,2015,"Comedia,Drama,Series de Netflix",0,2,Master of None
"Amanda Plummer,Charlie Carver,Corey Stoll,Cynthia Nixon,Finn Wittrock,Jon Jon Briones,Judy Davis,Sarah Paulson,Sharon Stone",FINALIZADA,2020,"Crimen,Drama,Misterio,Series de Netflix",0,1,Ratched
"Adam Nagaitis,Adrian Rawlins,Alan Williams,Alex Ferns,Barry Keoghan,Con O'Neill,David Dencik,Emily Watson,Fares Fares,Jared Harris,Jessie Buckley,Mark Lewis Jones",EMISION,2019,Drama,3.5,1,Chernobyl
,EMISION,2017,"Ciencia ficción,Crimen,Drama,Fantasía,Misterio,Series de Netflix",4,3,Dark
"Alex Høgh Andersen,Alexander Ludwig,Danila Kozlovsky,John Kavanagh,Jordan Patrick Smith,Katheryn Winnick,Marco Ilsø,Peter Franzén",EMISION,2013,"Drama,Acción,Aventura,Series de History",4,6,Vikingos
"Candice King,Ian Somerhalder,Julia Vasi,Kat Graham,Matthew Davis,Michael Malarkey,Paul Wesley,Zach Roerig",FINALIZADA,2009,"Drama,Fantasía,Romance,Series de The CW,Terror",4.5,8,Diario de Vampiros
"Abril Zamora,Adriana Paz,Alba Flores,Alberto Velasco,Benjamín Vicuña,Berta Vázquez,Cristina Marcos,Édgar Vittorino,Georgina Amorós,Itziar Castro,Jesús Castejón,Laura Baena",FINALIZADA,2015,"Drama,Series de Atresplayer,Series de FOX",4,4,Vis a vis
"Conleth Hill,Emilia Clarke,Gwendoline Christie,Isaac Hempstead-Wright,Jacob Anderson,Jerome Flynn,Joe Dempsie,John Bradley,Kit Harington,Lena Headey,Liam Cunningham,Maisie Williams",FINALIZADA,2011,"Drama,Ciencia ficción,Fantasía,Series de HBO",4,8,Juego de Tronos
"Chandra Wilson,Ellen Pompeo,James Pickens Jr.,Justin Chambers,Vanessa Bell Calloway",EMISION,2005,Drama,4,16,Anatomía de Grey
"Bob Morley,Eliza Taylor,Lindsey Morgan,Marie Avgeropoulos,Paige Turco,Richard Harmon",EMISION,2014,"Acción,Aventura,Ciencia ficción,Drama,Fantasía,Series de The CW",4.5,7,Los 100
"Christian Serratos,Danai Gurira,Jeffrey Dean Morgan,Josh McDermitt,Khary Payton,Melissa McBride,Norman Reedus,Ross Marquand,Ryan Hurst,Samantha Morton,Seth Gilliam",EMISION,2010,"Acción,Aventura,Ciencia ficción,Drama,Fantasía,Series de AMC",4.5,10,The Walking Dead
"Aimee Garcia,D.B. Woodside,Jon Sklaroff,Kevin Alejandro,Lauren German,Lesley-Ann Brandt,Rachael Harris,Scarlett Estevez,Tom Ellis",EMISION,2016,"Crimen,Ciencia ficción,DC Comics,Fantasía,Series de FOX,Series de Netflix",4,5,Lucifer
"Alba Flores,Álvaro Morte,Darko Peric,Enrique Arce,Esther Acebo,Hovik Keuchkerian,Itziar Ituño,Jaime Lorente,Miguel Herrán,Najwa Nimri,Pedro Alonso,Rodrigo de la Serna",EMISION,2017,"Crimen,Drama,Series de Atresplayer,Series de Netflix",4,4,La Casa de Papel
"Antonia Thomas,Christina Chang,Crystal Blint,Fiona Gubelmann,Freddie Highmore,Hill Harper,Jasika Nicole,Nicholas Gonzalez,Paige Spara,Richard Schiff,Will Yun Lee",EMISION,2017,"Drama,Series de ABC",4,3,The Good Doctor
"Aimée-Lou Wood,Anna Waddington,Asa Butterfield,Connor Swindells,Emma Mackey,Gillian Anderson,Kedar Williams-Stirling,Ncuti Gatwa",EMISION,2019,"Comedia,Drama,LGBT",4,2,Sex Education
"Abdelatif Hwidar,Álvaro Rico,Arón Piper,Danna Paola,Ester Expósito,Georgina Amorós,Itzan Escamilla,Jaime Lorente,Lola Marceli,Miguel Bernardeau,Mina El Hammani,Omar Ayuso",EMISION,2018,"Crimen,Drama,Misterio,Series de Netflix",4,3,Élite
